Fecha,Temperatura interior,Monóxido de nitrógeno,Dióxido de nitrógeno,Partículas en suspensión < PM10,Óxidos de nitrógeno,Ozono,Tolueno,Benceno,Hidrocarburos totales,Hidrocarburos no-metano,Velocidad del viento,Dirección del viento,Temperatura,Humedad relativa,Presión,Radiación solar,Precipitaciones
2021-10-31T22:00:00,23.9,1.0,6.0,3.0,8.0,44.0,0.2,0.1,1.3,0.1,1.9,243,15.3,100,937,1,0.0
2021-10-31T23:00:00,23.9,1.0,12.0,3.0,15.0,43.0,0.2,0.1,1.3,0.1,1.2,258,15.1,100,937,1,0.4
2021-11-01T00:00:00,23.9,1.0,6.0,3.0,8.0,45.0,0.1,0.1,1.3,0.1,1.9,247,14.8,100,936,1,0.8
2021-11-01T01:00:00,23.8,1.0,10.0,5.0,12.0,57.0,0.1,0.1,1.3,0.1,1.2,254,12.9,100,936,1,0.2
2021-11-01T02:00:00,23.8,1.0,5.0,6.0,7.0,56.0,0.1,0.1,1.3,0.1,0.9,351,12.9,100,936,1,0.4
2021-11-01T03:00:00,23.9,1.0,4.0,5.0,6.0,59.0,0.1,0.1,1.3,0.1,0.7,70,12.6,100,936,1,0.0
2021-11-01T04:00:00,23.9,1.0,3.0,3.0,5.0,59.0,0.1,0.1,1.3,0.1,0.5,144,12.4,100,936,1,0.0
2021-11-01T05:00:00,23.8,1.0,8.0,3.0,10.0,50.0,0.2,0.1,1.3,0.1,0.5,246,12.9,100,936,1,0.0
2021-11-01T06:00:00,23.8,1.0,10.0,4.0,12.0,46.0,0.9,0.2,1.3,0.1,0.9,252,12.9,100,936,1,0.2
2021-11-01T07:00:00,23.7,1.0,10.0,8.0,12.0,53.0,0.4,0.1,1.3,0.1,1.0,262,13.1,98,936,1,0.0
2021-11-01T08:00:00,23.7,1.0,6.0,5.0,8.0,65.0,0.1,0.1,1.3,0.1,1.6,268,13.7,87,937,24,0.0
2021-11-01T09:00:00,23.8,1.0,2.0,3.0,4.0,69.0,0.1,0.1,1.3,0.1,2.0,279,15.4,69,938,148,0.0
2021-11-01T10:00:00,23.8,1.0,2.0,1.0,4.0,75.0,0.1,0.1,1.3,0.1,3.8,303,15.2,59,939,396,0.0
2021-11-01T11:00:00,23.8,1.0,2.0,1.0,4.0,76.0,0.1,0.1,1.3,0.1,4.0,300,14.9,54,939,529,0.0
2021-11-01T12:00:00,23.8,1.0,2.0,3.0,4.0,80.0,0.1,0.1,1.3,0.1,4.3,298,14.7,49,939,611,0.0
2021-11-01T13:00:00,23.9,1.0,2.0,1.0,4.0,82.0,0.1,0.1,1.3,0.1,3.8,297,14.8,47,938,588,0.0
2021-11-01T14:00:00,23.9,1.0,3.0,2.0,5.0,83.0,0.1,0.1,1.3,0.1,2.4,281,15.5,44,938,517,0.0
2021-11-01T15:00:00,23.8,1.0,2.0,3.0,4.0,84.0,0.1,0.1,1.3,0.1,2.3,282,16.0,44,938,452,0.0
2021-11-01T16:00:00,23.5,1.0,2.0,3.0,4.0,83.0,0.1,0.1,1.3,0.1,2.3,284,15.9,46,938,283,0.0
2021-11-01T17:00:00,23.3,1.0,3.0,1.0,5.0,82.0,0.1,0.1,1.3,0.1,2.6,292,14.5,50,938,40,0.0
